name,flavour,color,size_cl,price_usd,origin,fruit_juice_percent,sugar_level_g,magic_level
Golden Night,Blackberry,Fuchsia,180,$5.19,Golden Empire,55,15,Medium
Enchanted Willow,Willow,Green,280,$6.49,Enchanted Forest,25,14,Medium
Dragon's Roar Grape,Grape,Turquoise,240,$4.39,Dragon's Lair,60,8,Medium
Dragon's Scales Pineapple,Pineapple,Green,280,$4.79,Dragon's Lair,25,14,Medium
Dragon's Talon Peach,Peach,Orange,240,$6.39,Dragon's Lair,50,12,High
Enchanted Fern,Fern,Teal,350,$4.79,Enchanted Forest,40,11,Medium
Dragon's Venom Mango,Mango,Yellow,360,$8.39,Dragon's Lair,40,11,High
Dragon's Fire Watermelon,Watermelon,Crimson,300,$7.99,Dragon's Lair,45,9,Low
Golden Soul Sun,Peach,Yellow,250,$7.39,Golden Empire,45,10,Low
Golden Star,Starfruit,Gold,360,$8.39,Golden Empire,50,8,Low
Golden Magic,Orange,Orange,220,$5.49,Golden Empire,30,13,Low
Golden Twilight,Grape,Gold,150,$4.79,Golden Empire,50,9,Low
Golden Day,Strawberry,Pink,280,$6.49,Golden Empire,25,9,Medium
Golden Horizon,Blueberry,Aqua,240,$6.39,Golden Empire,50,9,High
Golden Sky,Raspberry,Gold,350,$4.79,Golden Empire,40,11,Medium
Golden Dawn,Cherry,Crimson,300,$8.39,Golden Empire,45,8,Medium
Fairy Dust,Lemon,Clear,250,$7.39,Fairyland,40,10,High
Fairy Wings,Blueberry,Blue,300,$7.99,Fairyland,50,12,Medium
Fairy Blossom,Cherry,Pink,250,$6.49,Fairyland,35,14,Medium
Fairy Tear,Apple,Clear,220,$5.49,Fairyland,30,8,Low
Sapphire Storm,Raspberry,Azure,300,$8.39,Sapphire Kingdom,50,12,Medium
Fairy Dew,Melon,Teal,150,$4.39,Fairyland,50,12,High
Fairy Fire,Peach,Orange,180,$5.19,Fairyland,55,9,Medium
Fairy Freezy Frost,Lychee,White,280,$4.79,Fairyland,25,14,Medium
Fairy Storm,Raspberry,Purple,240,$4.39,Fairyland,50,8,Low
Fairy Wind,Grape,Green,350,$8.39,Fairyland,40,8,Medium
Fairy Light,Strawberry,Yellow,300,$4.79,Fairyland,45,8,Low
Sapphire Dragon,Dragonfruit,Blue,250,$7.39,Sapphire Kingdom,40,15,High
Sapphire Sea Soft,Blueberry,Blue,280,$6.49,Sapphire Kingdom,35,14,Medium
Sapphire Sky,Lemon,Aqua,150,$5.49,Sapphire Kingdom,30,13,Medium
Sapphire Starry,Starfruit,Blue,240,$4.79,Sapphire Kingdom,60,8,Low
Sapphire Sun,Persimmon,Blue,180,$4.39,Sapphire Kingdom,55,9,Medium
Sapphire Moon,Lime,Bisque,280,$6.49,Sapphire Kingdom,25,9,Medium
Sapphire Cloud,Cotton Candy,Violet,240,$6.39,Sapphire Kingdom,50,12,Medium
Sapphire Thunder,Black Currant,Turquoise,350,$4.79,Sapphire Kingdom,60,11,Low
Sapphire Lightning,Cherry,Blue,300,$7.99,Sapphire Kingdom,45,15,High
Rainbow Oasis,Orange,Rainbow,300,$8.39,Rainbow Land,50,8,Low
Rainbow Mountain,Guava,Bisque,180,$5.19,Rainbow Land,55,9,Low
Lunar Eclipse,Blackberry,Turquoise,250,$7.39,Lunar Kingdom,40,10,High
Lunar Meteor,Grape,Silver,300,$8.39,Lunar Kingdom,50,12,Low
Lunar Nova,Orange,Silver,250,$6.49,Lunar Kingdom,35,14,Medium
Lunar Supernova,Strawberry,Fuchsia,220,$5.49,Lunar Kingdom,30,13,Low
Lunar Stardust,Blueberry,Lavender,240,$6.39,Lunar Kingdom,50,12,Low
Lunar Galaxy,Raspberry,Orchid,180,$5.19,Lunar Kingdom,55,9,Low
Lunar Comet,Cherry,Fuchsia,280,$4.79,Lunar Kingdom,25,14,Medium
Lunar Moonbeam,Lemon,Silver,300,$8.39,Lunar Kingdom,45,11,Low
Stardust Dream,Cotton Candy,Lavender,250,$7.39,Stardust Sea,40,15,Low
Stardust Magic,Black Currant,Silver,300,$8.39,Stardust Sea,50,12,Medium
Stardust Wish,Raspberry,Silver,250,$6.49,Stardust Sea,35,14,Medium
Stardust Miracle,Blueberry,Turquoise,220,$5.49,Stardust Sea,30,13,Low
Stardust Fantasy,Cherry,Silver,240,$6.39,Stardust Sea,60,9,High
Rainbow Paradise,Pineapple,Yellow,250,$6.99,Rainbow Land,40,10,Medium
Rainbow Jungle,Mango,Rainbow,280,$6.49,Rainbow Land,35,14,Medium
Rainbow Ocean,Blueberry,Navy,240,$5.99,Rainbow Land,60,9,Low
Rainbow Mountain,Raspberry,Fuchsia,180,$4.79,Rainbow Land,55,9,Low
Rainbow Cloudy Candy,Cotton Candy,Aqua,150,$5.99,Rainbow Land,60,12,High
Rainbow Thunder,Black Currant,Rainbow,350,$7.99,Rainbow Land,40,11,Medium
Rainbow Lightning,Cherry,Bisque,300,$7.99,Rainbow Land,45,15,Low
Dragon's Fury Raspberry,Raspberry,Red,250,$6.49,Dragon's Lair,35,14,Medium
Dragon's Soul Orange,Orange,Orange,180,$4.79,Dragon's Lair,55,9,Low
Midnight Power Plum,Plum,Indigo,220,$8.49,Midnight Kingdom,45,15,High
